"Date","Time","Bin","Lat","Long","Observer","object","size"
2011-04-19,18991230,"B",40.852964,-71.455114,"JV",46,1
2011-02-17,18991230,"A",40.870221,-71.548422,"JV",106,1
2011-05-02,18991230,"A",40.875955,-71.303039,"KW",121,1
2011-12-04,18991230,"C",40.917532,-71.382727,"KW",286,1
2011-02-23,18991230,"A",40.941534,-71.385168,"KW",446,1
2011-02-07,18991230,"A",40.942254,-71.464381,"KW",457,1
2011-04-19,18991230,"A",40.947612,-71.594953,"JV",500,2
2011-05-02,18991230,"A",40.947954,-71.552005,"KW",506,1
2011-02-23,18991230,"B",40.979117,-71.511719,"JV",814,1
2011-04-19,18991230,"A",40.985713,-71.597616,"KW",911,1
2011-02-23,18991230,"B",40.98711,-71.76193,"KW",926,1
2011-05-02,18991230,"B",40.989605,-71.55776,"JV",955,1
2011-05-02,18991230,"A",40.99063,-71.060932,"KW",962,1
2011-05-02,18991230,"B",40.992725,-71.671571,"KW",988,1
2011-01-28,18991230,"B",40.993608,-71.761713,"JV",994,1
2011-05-13,18991230,"A",41.000929,-71.509984,"JV",1090,1
2011-02-23,18991230,"A",41.004552,-71.761663,"JV",1129,1
2011-05-02,18991230,"B",41.010379,-71.559469,"JV",1204,1
2011-04-19,18991230,"A",41.011515,-71.71658,"KW",1228,2
2011-02-07,18991230,"A",41.015379,-71.105773,"KW",1274,1
2011-05-13,18991230,"B",41.015597,-71.016932,"JV",1277,1
2011-04-19,18991230,"A",41.015856,-71.716701,"KW",1282,1
2011-05-02,18991230,"A",41.017963,-71.559722,"JV",1309,1
2011-05-02,18991230,"B",41.019383,-71.311441,"JV",1330,1
2011-05-02,18991230,"B",41.02165,-71.18479,"JV",1364,3
2011-04-19,18991230,"A",41.02492,-71.107089,"KW",1418,1
2011-05-31,18991230,"B",41.028502,-71.103168,"JV",1465,1
2011-05-02,18991230,"A",41.032124,-71.066661,"JV",1518,1
2011-02-17,18991230,"B",41.037831,-71.434367,"KW",1610,1
2011-12-13,18991230,"C",41.041431,-71.435255,"Ellen",1671,1
2011-05-13,18991230,"B",41.04185,-71.018547,"JV",1673,1
2011-05-13,18991230,"A",41.044714,-71.759383,"JV",1722,2
2011-05-02,18991230,"B",41.045388,-71.561131,"KW",1733,6
2011-02-23,18991230,"B",41.045582,-70.895373,"KW",1735,1
2011-04-19,18991230,"C",41.046714,-71.606173,"JV",1749,2
2011-08-31,18991230,"A",41.050595,-71.724511,"KW",1803,1
2011-02-07,18991230,"B",41.051831,-71.230845,"KW",1822,1
2011-04-19,18991230,"B",41.052343,-71.226807,"JV",1827,1
2011-05-13,18991230,"A",41.052413,-71.759387,"KW",1828,1
2011-04-07,18991230,"A",41.055124,-71.764835,"KW",1855,1
2011-05-02,18991230,"C",41.05613,-71.187148,"JV",1889,3
2011-12-04,18991230,"A",41.056567,-71.766683,"Ellen",1901,1
2011-11-06,18991230,"A",41.057209,-70.979263,"KW",1926,1
2011-12-13,18991230,"C",41.059309,-71.683931,"Ellen",1964,1
2011-05-02,18991230,"A",41.060635,-71.06741,"JV",1989,1
2011-05-02,18991230,"B",41.060796,-70.94045,"JV",1994,1
2011-12-09,18991230,"A",41.062095,-71.725288,"Ellen",2021,1
2011-09-26,18991230,"A",41.06763,-71.473775,"KW",2109,1
2011-04-07,18991230,"A",41.069703,-71.765355,"KW",2145,1
2011-01-28,18991230,"A",41.071398,-70.89175,"KW",2183,1
2011-02-23,18991230,"A",41.072397,-71.770585,"JV",2192,3
2011-05-02,18991230,"A",41.072936,-71.679598,"KW",2202,1
2011-12-04,18991230,"B",41.073192,-71.643905,"KW",2217,1
2011-01-28,18991230,"B",41.073421,-71.514432,"KW",2221,1
2011-05-13,18991230,"A",41.074735,-71.516369,"KW",2254,1
2011-05-13,18991230,"A",41.075465,-70.903237,"KW",2266,1
2011-06-06,18991230,"A",41.075575,-71.436937,"",2268,1
2011-11-06,18991230,"A",41.07583,-70.980289,"KW",2275,1
2011-02-23,18991230,"A",41.076668,-71.271382,"KW",2286,1
2011-01-28,18991230,"B",41.076776,-71.39339,"KW",2291,1
2011-01-28,18991230,"A",41.07684,-71.514687,"KW",2293,2
2011-02-23,18991230,"A",41.077097,-71.518684,"KW",2298,2
2011-03-15,18991230,"A",41.078714,-71.313642,"KW",2319,1
2011-12-13,18991230,"B",41.079118,-71.561763,"Ellen",2324,1
2011-03-15,18991230,"A",41.079421,-71.065459,"KW",2327,1
2011-02-23,18991230,"A",41.081184,-71.519371,"KW",2365,1
2011-04-19,18991230,"A",41.081796,-71.607263,"JV",2372,2
2011-04-07,18991230,"A",41.081913,-71.765651,"KW",2373,1
2011-02-07,18991230,"A",41.083957,-71.475022,"KW",2397,1
2011-01-28,18991230,"B",41.085045,-71.027813,"KW",2410,1
2011-06-06,18991230,"A",41.085416,-71.565366,"",2421,6
2011-05-02,18991230,"C",41.085614,-71.563187,"JV",2426,2
2011-02-07,18991230,"B",41.085981,-71.232993,"KW",2436,1
2011-05-02,18991230,"A",41.08668,-71.317941,"KW",2452,1
2011-04-19,18991230,"B",41.087352,-71.722617,"KW",2473,1
2011-05-02,18991230,"A",41.08824,-71.679694,"KW",2487,1
2011-01-28,18991230,"A",41.089387,-70.892882,"KW",2510,1
2011-01-28,18991230,"C",41.08945,-71.771566,"KW",2512,2
2011-05-13,18991230,"A",41.089888,-70.904433,"KW",2520,1
2011-03-04,18991230,"B",41.090554,-71.72241,"JV",2531,1
2011-02-23,18991230,"A",41.092604,-71.520785,"KW",2566,1
2011-04-19,18991230,"B",41.092798,-71.723013,"KW",2570,1
2011-04-19,18991230,"A",41.092908,-71.608856,"JV",2572,1
2011-04-07,18991230,"A",41.093146,-71.765861,"JV",2574,1
2011-05-13,18991230,"A",41.0935,-71.517678,"JV",2581,1
2011-01-28,18991230,"A",41.095103,-71.772306,"KW",2613,1
2011-05-13,18991230,"A",41.096305,-71.757971,"KW",2637,1
2011-05-13,18991230,"B",41.096305,-71.757971,"KW",2638,1
2011-03-15,18991230,"A",41.096754,-71.688309,"KW",2644,2
2011-04-07,18991230,"A",41.097718,-71.765893,"JV",2661,1
2011-12-04,18991230,"A",41.098475,-71.769704,"Ellen",2679,1
2011-02-07,18991230,"A",41.098499,-71.72695,"KW",2681,1
2011-01-28,18991230,"A",41.099658,-71.772838,"KW",2696,2
2011-03-04,18991230,"A",41.100829,-71.110745,"KW",2706,1
2011-02-17,18991230,"B",41.10093,-71.686817,"KW",2711,2
2011-05-02,18991230,"A",41.101137,-71.563299,"KW",2717,1
2011-05-13,18991230,"A",41.101596,-71.021437,"KW",2725,1
2011-02-23,18991230,"A",41.102703,-71.645639,"JV",2746,1
2011-03-15,18991230,"A",41.102829,-71.689038,"JV",2753,1
2011-04-07,18991230,"A",41.103403,-71.765904,"JV",2762,1
2011-04-19,18991230,"A",41.103685,-71.724334,"JV",2767,1
2011-04-19,18991230,"A",41.103685,-71.724334,"KW",2768,1
2011-02-23,18991230,"A",41.103741,-71.645799,"KW",2770,24
2011-01-28,18991230,"A",41.104226,-71.773264,"KW",2777,1
2011-01-28,18991230,"B",41.104373,-71.644347,"JV",2782,1
2011-05-13,18991230,"A",41.105038,-71.757992,"KW",2793,1
2011-12-13,18991230,"B",41.10516,-71.688071,"KW",2794,1
2011-04-19,NA,"A",41.106355,-71.610366,"JV",2817,1
2011-05-13,18991230,"A",41.106665,-71.650726,"KW",2828,1
2011-04-07,18991230,"A",41.107362,-71.647606,"JV",2835,1
2011-05-31,18991230,"A",41.107562,-71.611257,"JV",2838,1
2011-12-04,18991230,"B",41.107578,-71.770174,"KW",2840,1
2011-01-28,18991230,"B",41.107622,-71.645168,"KW",2842,1
2011-05-13,18991230,"A",41.108839,-71.650862,"KW",2863,1
2011-02-07,18991230,"A",41.108942,-71.612897,"KW",2865,1
2011-02-07,18991230,"A",41.109739,-71.726896,"KW",2879,1
2011-05-02,18991230,"A",41.109839,-71.563586,"KW",2885,1
2011-05-02,18991230,"A",41.110224,-70.943972,"JV",2892,3
2011-01-28,18991230,"A",41.110269,-71.147867,"JV",2896,2
2011-05-13,18991230,"A",41.110495,-71.758124,"KW",2900,1
2011-03-15,18991230,"A",41.110852,-71.689883,"KW",2903,1
2011-03-15,18991230,"A",41.111384,-70.945018,"KW",2909,1
2011-04-19,18991230,"B",41.111921,-71.726171,"KW",2912,1
2011-02-07,18991230,"A",41.112228,-70.985697,"KW",2918,1
2011-05-31,18991230,"A",41.112793,-71.61143,"KW",2934,2
2011-04-07,18991230,"A",41.113317,-71.520318,"KW",2945,1
2011-02-23,18991230,"B",41.113353,-71.276063,"JV",2946,1
2011-01-28,18991230,"C",41.116032,-71.029374,"KW",2997,3
2011-01-28,18991230,"A",41.11619,-71.646985,"KW",3001,1
2011-05-13,18991230,"A",41.116364,-71.404824,"JV",3007,2
2011-02-23,18991230,"A",41.116529,-71.521983,"KW",3008,1
2011-02-07,18991230,"A",41.116991,-71.726676,"KW",3016,2
2011-02-17,18991230,"B",41.117111,-71.687934,"KW",3022,3
2011-11-26,18991230,"B",41.117956,-70.9445,"KW",3045,1
2011-05-13,18991230,"A",41.119161,-71.758569,"KW",3068,1
2011-03-04,18991230,"A",41.119961,-71.613805,"KW",3083,12
2011-12-13,18991230,"B",41.120809,-71.689329,"KW",3098,2
2011-12-13,18991230,"C",41.120809,-71.689329,"KW",3099,1
2011-04-19,18991230,"A",41.120956,-71.612432,"KW",3101,1
2011-04-19,18991230,"B",41.120956,-71.612432,"JV",3102,3
2011-02-23,18991230,"A",41.121124,-71.399531,"KW",3106,1
2011-02-07,18991230,"A",41.121694,-70.986487,"KW",3114,1
2011-12-04,18991230,"B",41.122579,-71.771862,"KW",3129,1
