region;point_ID;Xcoord;Ycoord;distance;effort
Rouillacais_2015;Rouillacais_2015_1;419607.8321;2094819.806;NA;3
Rouillacais_2015;Rouillacais_2015_1;419607.8321;2094819.806;258;3
Rouillacais_2015;Rouillacais_2015_1;419607.8321;2094819.806;307;3
Rouillacais_2015;Rouillacais_2015_1;419607.8321;2094819.806;307;3
Rouillacais_2015;Rouillacais_2015_1;419607.8321;2094819.806;236;3
Rouillacais_2015;Rouillacais_2015_2;419341.9192;2096566.497;NA;3
Rouillacais_2015;Rouillacais_2015_2;419341.9192;2096566.497;NA;3
Rouillacais_2015;Rouillacais_2015_2;419341.9192;2096566.497;NA;3
Rouillacais_2015;Rouillacais_2015_3;417947.761;2095566.784;131;3
Rouillacais_2015;Rouillacais_2015_3;417947.761;2095566.784;158;3
Rouillacais_2015;Rouillacais_2015_3;417947.761;2095566.784;148;3
Rouillacais_2015;Rouillacais_2015_4;416528.8546;2095118.147;78;3
Rouillacais_2015;Rouillacais_2015_4;416528.8546;2095118.147;NA;3
Rouillacais_2015;Rouillacais_2015_4;416528.8546;2095118.147;132;3
Rouillacais_2015;Rouillacais_2015_5;416465.0386;2096342.641;74;3
Rouillacais_2015;Rouillacais_2015_5;416465.0386;2096342.641;246;3
Rouillacais_2015;Rouillacais_2015_5;416465.0386;2096342.641;NA;3
Rouillacais_2015;Rouillacais_2015_5;416465.0386;2096342.641;NA;3
Rouillacais_2015;Rouillacais_2015_6;416411.0744;2098077.646;NA;3
Rouillacais_2015;Rouillacais_2015_6;416411.0744;2098077.646;280;3
Rouillacais_2015;Rouillacais_2015_6;416411.0744;2098077.646;NA;3
Rouillacais_2015;Rouillacais_2015_7;418026.2351;2097482.576;142;3
Rouillacais_2015;Rouillacais_2015_7;418026.2351;2097482.576;NA;3
Rouillacais_2015;Rouillacais_2015_7;418026.2351;2097482.576;NA;3
Rouillacais_2015;Rouillacais_2015_8;419467.022;2098266.903;176;3
Rouillacais_2015;Rouillacais_2015_8;419467.022;2098266.903;131;3
Rouillacais_2015;Rouillacais_2015_8;419467.022;2098266.903;91;3
Rouillacais_2015;Rouillacais_2015_8;419467.022;2098266.903;92;3
Rouillacais_2015;Rouillacais_2015_8;419467.022;2098266.903;107;3
Rouillacais_2015;Rouillacais_2015_8;419467.022;2098266.903;90;3
Rouillacais_2015;Rouillacais_2015_9;420878.0248;2097560.486;82;3
Rouillacais_2015;Rouillacais_2015_9;420878.0248;2097560.486;83;3
Rouillacais_2015;Rouillacais_2015_9;420878.0248;2097560.486;79;3
Rouillacais_2015;Rouillacais_2015_9;420878.0248;2097560.486;91;3
Rouillacais_2015;Rouillacais_2015_9;420878.0248;2097560.486;91;3
Rouillacais_2015;Rouillacais_2015_9;420878.0248;2097560.486;114;3
Rouillacais_2015;Rouillacais_2015_9;420878.0248;2097560.486;94;3
Rouillacais_2015;Rouillacais_2015_9;420878.0248;2097560.486;167;3
Rouillacais_2015;Rouillacais_2015_9;420878.0248;2097560.486;138;3
Rouillacais_2015;Rouillacais_2015_9;420878.0248;2097560.486;128;3
Rouillacais_2015;Rouillacais_2015_10;420943.4383;2099187.798;NA;3
Rouillacais_2015;Rouillacais_2015_10;420943.4383;2099187.798;214;3
Rouillacais_2015;Rouillacais_2015_10;420943.4383;2099187.798;93;3
Rouillacais_2015;Rouillacais_2015_10;420943.4383;2099187.798;93;3
Rouillacais_2015;Rouillacais_2015_11;421213.5819;2100934.72;NA;3
Rouillacais_2015;Rouillacais_2015_11;421213.5819;2100934.72;131;3
Rouillacais_2015;Rouillacais_2015_11;421213.5819;2100934.72;131;3
Rouillacais_2015;Rouillacais_2015_11;421213.5819;2100934.72;NA;3
Rouillacais_2015;Rouillacais_2015_12;418065.2983;2099354.489;NA;3
Rouillacais_2015;Rouillacais_2015_12;418065.2983;2099354.489;NA;3
Rouillacais_2015;Rouillacais_2015_12;418065.2983;2099354.489;128;3
Rouillacais_2015;Rouillacais_2015_12;418065.2983;2099354.489;128;3
Rouillacais_2015;Rouillacais_2015_13;416453.5748;2100033.881;NA;3
Rouillacais_2015;Rouillacais_2015_13;416453.5748;2100033.881;NA;3
Rouillacais_2015;Rouillacais_2015_13;416453.5748;2100033.881;NA;3
Rouillacais_2015;Rouillacais_2015_14;415021.2656;2099091.344;129;3
Rouillacais_2015;Rouillacais_2015_14;415021.2656;2099091.344;220;3
Rouillacais_2015;Rouillacais_2015_14;415021.2656;2099091.344;278;3
Rouillacais_2015;Rouillacais_2015_14;415021.2656;2099091.344;329;3
Rouillacais_2015;Rouillacais_2015_14;415021.2656;2099091.344;129;3
Rouillacais_2015;Rouillacais_2015_14;415021.2656;2099091.344;156;3
Rouillacais_2015;Rouillacais_2015_14;415021.2656;2099091.344;126;3
